Transcription Factor Binding Sites	Abs-Center-Pos	Involved-In-Regulation	Regulated-Entity	Regulator
BS0-1203		REG0-6016	PM326	CPLX0-2781
BS0-5469	366410	REG0-4715	PM00045	PD00288
BS0-7454	4432050	REG0-9171	PM-8827	PHOSPHO-NARP
BS0-8782	813127.5	REG0-12973	PM00351	PC00010
BS0-8916	3674092	REG0-13274	TU0-13967	G7072-MONOMER
BS0-8156	657188.5	REG0-11310	PM0-9885	CPLX0-226
BS0-7393	1279531	REG0-9048	PM00060	PHOSPHO-RSTA
BS0-8033	2248642.5	REG0-11026	PM340	CPLX0-7669
BS00479	17414	REG0-5964	PM00282	MONOMER0-46
BS00600	2799026	REG0-12677 // REG0-5379	PM0-46380 // PM00537	MONOMER0-155 // PD00353
BS0-7765	2685816	REG0-10483	PM00415	CPLX0-7756
BS265	3772165.5d0	REG0-5722	PM00272	PC00061
BS0-8579	3234507	REG0-12590	PM0-46154	CPLX0-8230
BS0-8473	1227506	REG0-12214	TU0-8688	CPLX0-7680
BS0-8270	4554391.5	REG0-11538	PM0-5285	EG20249-MONOMER
BS0-7469	1074128.5	REG0-9267 // REG0-9266	PM0-3847 // PM0-9823	PD01352
BS0-2902	3086562.5d0	REG0-14910 // REG0-6392	PM0-46486 // PM0-1963	CPLX0-7796
BS0-7287	997697	REG0-6004	PM169	PC00027
BS0-4601	4097599.5	REG0-14950 // REG0-5508	PM0-46502 // PM00087	CPLX0-226
BS-7057	2003762	REG0-6446	PM00604	CPLX0-3930
BS0-10797	1614792	REG0-16360	TU0-198700	CPLX0-10428
BS00680	4117118.5d0	REG0-5762	PM00238	PD03576
BS0-8406	3172388.5	REG0-11984	PM0-46311	CPLX0-7916
BS0-8239		REG0-15145 // REG0-11495	PM0-46559 // PM00536	EG11356-MONOMER
BS00075	792035.5	REG0-14868 // REG0-4666 // REG0-4658	PM0-46476 // PM00033 // PM00032	PD03028
BS00688	3911622	REG0-14972 // REG0-5943	PM0-46514 // PM00285	PHOSPHO-PHOB
BS0-7045	1074123	REG0-6281	PM0-3847	PHOSPHO-ARCA
BS0-6934		REG0-5869	PM00147	PD04132
BS0-1202	4097618.5d0	REG0-14949 // REG0-5509	PM0-46502 // PM00087	CPLX0-226
BS0-8865	399502	REG0-13188	TU0-8551	G7072-MONOMER
BS0-7521	3667754	REG0-15208 // REG0-9359	PM0-46571 // PM461	CPLX0-7705
BS0-2102	2553212	REG0-6354	PM0-2922	PC00027
BS0-4163	3546531.5	REG0-6215 // REG0-6212 // REG0-5919	PM0-5168 // PM0-5167 // PM00315	PD03585
BS0-3344	1293201	REG0-5680	PM00191	CPLX0-7705
BS00563	3577713.5d0	REG0-5265	PM00314	CPLX0-226
BS0-8009	1572191.5	REG0-15054 // REG0-10954	PM0-46530 // PM450	EG12243-MONOMER
BS0-2203	137020	REG0-6361	PM0-3304	CPLX0-7708
BS0-7550	4611224	REG0-15070 // REG0-9389	PM0-46534 // PM00529	CPLX0-7705
BS0-7175	3374539	REG0-6592	PM0-9197	PC00027
BS0-7932	3231562.5	REG0-10825	PM0-36147	CPLX0-226
BS0-8389	1440885.5	REG0-11903	PM0-36236	PD00406
BS322	576901.5	REG0-5050	PM437	CPLX0-226
BS0-10803		REG0-16366	TU0-13211	CPLX0-10428
BS00377	451845.5	REG0-5854	PM00142	CPLX0-7797
BS0-8334	3883922	REG0-11664 // REG0-11663	PM00465	MONOMER0-160
BS0-3081	2313012	REG0-14828 // REG0-5319 // REG0-5214 // REG0-4582	PM0-46465 // PM00630 // PM00401 // PM00065	PC00027
BS0-8724		REG0-15141 // REG0-12833	PM0-46559 // PM00536	PD00288
BS0-5471	792083	REG0-14871 // REG0-4655	PM0-46476 // PM00032	PD00288
BS0-7240	3410145	REG0-4631	PM00028	CPLX0-7705
BS0-7177	2976259.5	REG0-6604	PM0-9199	PHOSPHO-OMPR
BS0-8000		REG0-10932	PM0-36193	PD00288
BS0-2748	4287489	REG0-15086 // REG0-6290	PM0-46541 // PM0-3923	CPLX0-7705
BS0-8374	4424930.5	REG0-11826	PM0-10188	CPLX0-226
BS0-981	4042342	REG0-6493	PM0-1221	CPLX0-7748
BS0-7505	2716682	REG0-9334	PM0-1303	CPLX0-7705
BS00493	3933329.5	REG0-5371	PM00290	PD03867
BS0-7544	3373602	REG0-9383	PM0-1781	CPLX0-7705
BS0-5661		REG0-6167	PM0-5862	PHOSPHO-ARCA
BS0-3542	4518289	REG0-5769	PM00207	CPLX0-7639
BS0-7392	987184	REG0-15022 // REG0-9047	PM0-46528 // PM00066	PHOSPHO-RSTA
BS0-8617	2924623	REG0-12626	PM0-5001	PC00027
BS0-3487	3128180	REG0-14061 // REG0-6037	G7546 // PM166	PHOSPHO-ARCA
BS0-3441	4349132	REG0-6229	PM0-4802	CPLX0-7721
BS0-2201	3653974	REG0-5486	PM00137	PD00365
BS0-7255	4175290	REG0-5639	PM00659	CPLX0-7705
BS0-5262	4166341	REG0-15242 // REG0-5077	PM0-46578 // PM00514	PD00288
BS0-3731	1157647	REG0-6512 // REG0-6508	PM0-1302 // PM0-1301	CPLX0-7705
BS0-2569	223394	REG0-15226 // REG0-6470	PM0-46572 // PM0-1349	CPLX0-7705
BS584	3884010.5	REG0-4908	PM00466	CPLX0-7669
BS-7109	990451.5d0	REG0-5726	PM00274	CPLX0-226
BS0-7180	4274041.5	REG0-6145 // REG0-6142 // REG0-5543 // REG0-5531	PM00500 // PM00499 // PM00098 // PM00091	PHOSPHO-ARCA
BS0-7396	3219169.5	REG0-9049	PM0-1727	CPLX0-226
BS0-2004	3151436	REG0-6389	PM0-2743	CPLX0-7639
BS0-4223	2832361	REG0-6269	PM0-4681	PHOSPHO-NARP
BS0-8364	4630648	REG0-11812	PM0-46112	CPLX0-7748
BS0-19	2023664	REG0-5672	PM00636	PC00084
BS00295	754814	REG0-5876	PM00148	PHOSPHO-ARCA
BS0-2749	4287544	REG0-15087 // REG0-6289 // REG0-5953	PM0-46541 // PM0-3923 // PM00280	PC00027
BS0-7893	42245.5	REG0-10763 // REG0-10760	PM00528 // PM339	CPLX0-8062
BS0-1002	3492382	REG0-5170	PM00618	CPLX0-7748
BS0-7487	622220	REG0-9291 // REG0-9290 // REG0-9286	PM0-4201 // PM00227	CPLX0-7639
BS0-7460	1230414.5	REG0-9254	PM681	CPLX0-8563
BS0-5484	3373614.5	REG0-6420	PM0-1781	CPLX0-8593
BS0-3428	41988	REG0-5648	PM00528	PHOSPHO-ARCA
BS825	2255261.5d0	REG0-6028	PM1021	CPLX0-7797
BS0-8232	1346880.5	REG0-11488	PM0-4261	EG11356-MONOMER
BS0-8342	1361052.5	REG0-11701 // REG0-11697	PM0-10351 // PM0-10033	EG12431-MONOMER
BS0-8801	4073674	REG0-13115 // REG0-13114	PM0-46404 // PM0-45948	EG11849-MONOMER
BS0-8911	3354203	REG0-13265	TU0-13891	G7072-MONOMER
BS0-8304	1655206	REG0-11626	PM0-46594	G6814-MONOMER
BS0-6943	1737640	REG0-5642	PM00081	CPLX0-7639
BS0-1164	4166284	REG0-15240 // REG0-5079	PM0-46578 // PM00514	PD00288
BS00598		REG0-5381	PM00537	PD00288
BS0-7849	638855	REG0-10459 // REG0-10673	PM0-10406 // PM00102	PD00214
BS0-8214		REG0-11466	PM0-10472	G6165-MONOMER
BS0-8359	1063934	REG0-14923 // REG0-11759 // REG0-11758	PM0-46495 // PM0-46270 // PM0-46271	CPLX0-7705
BS0-7001	1103392	REG0-15168 // REG0-5357	PM0-46559 // PM00536	CPLX0-7748
BS0-7419	2323380	REG0-9066	PM00155	PC00027
BS0-7714	636989.5	REG0-10394	PM0-10368	CPLX0-7797
BS0-7274	1170470.5	REG0-4614	PM0-9396	CPLX0-7748
BS0-7774	1500563	REG0-10493	PM-8830	CPLX0-7756
BS00270	1016536	REG0-5475	PM00131	PD01520
BS0-7220	4058162	REG0-5935	PM00312	CPLX0-7705
BS0-7152	3219169.5	REG0-6415	PM0-1727	CPLX0-7797
BS0-4081	4419882.5	REG0-6194	PM0-5402	G7854-MONOMER
BS341	2312766.5	REG0-5317 // REG0-5001	PM00630 // PM00631	PD00353
BS0-8336	3883955	REG0-11668 // REG0-11667	PM00465	MONOMER0-160
BS0-8853	1996903	REG0-13172	TU0-13452	G7072-MONOMER
BS00418	963747	REG0-15270 // REG0-4903	PM0-46583 // PM00242	PC00027
BS0-7949	1333745	REG0-10858	PM00106	PHOSPHO-PHOP
BS0-7952	3573691	REG0-10877	PM0-36176	PHOSPHO-PHOP
BS0-8815	2413294	REG0-13249 // REG0-13133	TU0-13583 // TU00385	G7072-MONOMER
BS0-8086	214206.5	REG0-11104 // REG0-11097	PM0-36224 // PM0-36225	CPLX0-226
BS0-7622	4349154	REG0-9589	PM0-4802	CPLX0-7721
BS00028	406291	REG0-4792	PM00013	MONOMER0-162
BS581	3742624.5d0	REG0-4906	PM692	PC00027
BS0-4663	4246515.5	REG0-4740 // REG0-4734	PM00048 // PM00047	MONOMER0-158
BS0-7928	4100726	REG0-10820	PM00089	CPLX0-7639
BS00158	987200	REG0-15035 // REG0-4588	PM0-46528 // PM00066	PC00027
BS0-7023	2620960.5	REG0-5825	PM00080	CPLX0-7797
BS0-31	1977339	REG0-6414	PM0-1701	CPLX0-7748
BS0-8978	1509162.5	REG0-13422	PM0-10389	CPLX0-226
BS0-10666	3754516.5	REG0-16135	TU0-13986	EG12289-MONOMER
BS0-7307	2460528	REG0-6200	PM0-5561	PHOSPHO-ARCA
BS722	3532539.5d0	REG0-4822	PM00193	PC00061
BS0-8993		REG0-13456	PM0-46190	CPLX0-7639
BS00654	2868062.5	REG0-5625	PM00590	CPLX0-226
BS00345		REG0-5684	PM00191	PD03695
BS0-7818	3105590	REG0-10581	PM00173	CPLX0-7740
BS0-8813	3875302	REG0-13130	PM0-46406	CPLX0-226
BS0-10880	1579235	REG0-16449	TU0-13290	CPLX0-7639
BS0-10824	290518	REG0-16391	TU0-198702	CPLX0-7639
BS466	4199956.5	REG0-5035	PM586	CPLX0-7705
BS0-7845	1764650	REG0-10665	PM0-2801	PD00214
BS0-8908	3226590	REG0-13262	TU0-13851	G7072-MONOMER
BS00052	4617237.5	REG0-4811	PM00025	CPLX0-226
BS0-8496		REG0-12326	PM0-9849	PHOSPHO-NARL
BS00172	401676	REG0-4617	PM00071	PHOSPHO-PHOB
BS0-5082	3558169	REG0-5150	PM333	PC00027
BS0-7378	3790262	REG0-9032	PM0-9640	PHOSPHO-PHOB
BS0-8893	2249641	REG0-13239 // REG0-13238	TU0-13542 // TU0-13541	G7072-MONOMER
BS0-1147	3927038	REG0-5968	PM00154	G7072-MONOMER
BS0-8913	3499142	REG0-13267	TU0-13923	G7072-MONOMER
BS52	1399656	REG0-4636	PM00029	PC00027
BS0-9002	3384458	REG0-13465	PM00150	MONOMER0-4276
BS0-7044		REG0-5044	PM69	PHOSPHO-ARCA
BS0-8934	2381084	REG0-13297 // REG0-13296	PM0-9756	PD00214
BS00408	2942653	REG0-6179 // REG0-5748	PM0-6484 // PM00234	PD00339
BS0-1582	2349540.5	REG0-6401	PM0-2021	PD00365
BS00793	4606505	REG0-5304	PM00676	CPLX0-7705
BS0-8967	1027847	REG0-14290 // REG0-13368	G6498 // TU0-8680	EG12386-MONOMER
BS0-7938	1583996	REG0-10840	PM0-9828	PHOSPHO-PHOP
BS0-5445	3278805.5d0	REG0-5889	PM0-6881	CPLX0-226
BS0-7125	3490240.5d0	REG0-5669	PM00152	CPLX0-228
BS0-7642	1792140	REG0-9638	PM0-10249	PD02198
BS0-8870	676584	REG0-14702 // REG0-13211	G6352 // TU0-8561	G7072-MONOMER
BS0-1081	4360245	REG0-6041	PM00622	PD00436
BS0-8490	2312894	REG0-12298	PM00065	G7947-MONOMER
BS0-8203	3050917.5	REG0-11435	PM00233	CPLX0-226
BS0-7463	1230376.5	REG0-9257	PM681	CPLX0-8563
BS0-7629	3927085.5	REG0-9601 // REG0-9599	PM00154 // PM00153	CPLX0-7733
BS0-5451	3281614.5	REG0-6147	PM0-6883	G7630-MONOMER
BS0-4430	2804924	REG0-4860	PM00423	PD00288
BS0-4422	2804761	REG0-4868	PM00423	PD00288
BS472	461472	REG0-4976 // REG0-4971	PM589 // PM588	CPLX0-7705
BS0-2564	2731519	REG0-14931 // REG0-6465	PM0-46498 // PM0-1347	CPLX0-7705
BS0-7383	49734	REG0-9037	PM00320	PC00027
BS0-7737	2520810	REG0-10455 // REG0-10451	PM00654 // PM331	CPLX0-7705
BS00108	4257099	REG0-4726	PM00046	PC00010
BS0-10658	1453805	REG0-16122 // REG0-16121	TU5 // G6708	G7518-MONOMER
BS0-7869	2765864.5	REG0-10713	PM0-10541	G7326-MONOMER
BS0-4429	2804910	REG0-4861	PM00423	PD00288
BS0-7210	1592472.5	REG0-6584	PM0-8864	CPLX0-7425
BS0-7520	940881	REG0-9358	PM00026	CPLX0-7705
BS0-10833	942915	REG0-16400	TU0-198703	CPLX0-7639
BS00648	1901892.5	REG0-5728	PM00276	CPLX0-226
BS-7092	2177274.5	REG0-5739	PM00232	CPLX0-226
BS00036	29631.5	REG0-4796	PM00017	CPLX0-228
BS0-6976	954645	REG0-5198 // REG0-5188	PM00354 // PM00353	PHOSPHO-NARL
BS0-8370	1511548	REG0-11822	PM0-46279	G7072-MONOMER
BS0-7296		REG0-5399	PM0-9513	PD00288
BS0-7009	2461013.5	REG0-4469	PM00110	PHOSPHO-PHOP
BS00087	3561970.5d0	REG0-4690	PM00038	PD03576
BS-7089	451844.5d0	REG0-5850	PM00142	CPLX0-226
BS0-7695	1361133	REG0-10388 // REG0-10272	PM0-10033 // PM0-10351	PHOSPHO-ARCA
BS0-8437	1619052.5	REG0-12109	PM00265	EG12116-MONOMER
BS00687	1978487	REG0-5584	PM00184	PC00027
BS0-7206	2839356.5	REG0-6571	PM0-8848	EG10087-MONOMER
BS0-8269	3667729.5	REG0-15193 // REG0-11537	PM0-46571 // PM461	PHOSPHO-TORR
BS0-7319	3486021	REG0-5440	PM00161	CPLX0-7705
BS0-2183	1453676.5	REG0-5105	PM4	CPLX0-7731
BS0-10767		REG0-16322	PM0-1347	MONOMER0-46
BS0-8605		REG0-12610	TU0-13936	G7619-MONOMER
BS0-2427	2313205	REG0-14825 // REG0-5217	PM0-46465 // PM00401	MONOMER0-155
BS0-8265	2427932	REG0-11533	PM0-3781	CPLX0-8566
BS145	4551460.5d0	REG0-6219 // REG0-4981	PM0-5201 // PM101	CPLX0-226
BS0-6939	913945	REG0-6111	PM0-7361	PHOSPHO-NARL
BS00672		REG0-5637	PM00597	PD00288
BS0-8841	2044056	REG0-14443 // REG0-13160	EG30020 // TU0-13471	G7072-MONOMER
BS0-8774	922744	REG0-12953	PM0-46400	PHOSPHO-PHOP
BS0-1146	1842352	REG0-14809 // REG0-6434	G6955 // PM00379	G7072-MONOMER
BS0-8278	3348368.5	REG0-11574	PM0-8161	PHOSPHO-BASR
BS771	131445.5	REG0-4930	PM263	CPLX0-7705
BS0-7593	366332.5	REG0-9510 // REG0-9509 // REG0-9508	PM0-4942 // PM0-4941 // PM00045	CPLX0-226
BS783	931121.5d0	REG0-6032	PM961	CPLX0-7797
BS0-8087	1168996.5	REG0-11106 // REG0-11098	PM0-36235 // PM0-36234	CPLX0-226
BS0-6805	4012999.5d0	REG0-6063 // REG0-6060 // REG0-6057	PM0-8604 // PM0-8603 // PM0-8601	CPLX0-7796
BS0-3142	866531	REG0-5347	PM0-4427	PHOSPHO-ARCA
BS526	1298455	REG0-14883 // REG0-4892	PM0-46478 // PM00279	CPLX0-7705
BS0-7847	4551464	REG0-10668 // REG0-10667	PM0-5201 // PM101	PD00214
BS0-8110	1103298.5	REG0-15149 // REG0-11211	PM0-46559 // PM00536	PC00061
BS0-8416	1130164.5	REG0-12006	PM0-1725	PD01379
BS0-1143	1842332	REG0-6437	PM00379	G7072-MONOMER
BS0-1122	963672	REG0-15271 // REG0-4902	PM0-46583 // PM00242	PC00027
BS-7096	4201681.5d0	REG0-4831	PM924	CPLX0-226
BS0-8360	396394	REG0-11808	PM0-3626	CPLX0-7748
BS0-8417	1130148.5	REG0-12007	PM0-1725	PD01379
BS0-2942	4128589.5d0	REG0-6297	PM00490	CPLX0-7796
BS164	385112	REG0-5110	PM502	CPLX0-2781
BS0-5468	366397	REG0-4716	PM00045	PD00288
BS00571	954499	REG0-5279 // REG0-5177	PM00517 // PM00353	PHOSPHO-ARCA
BS0-10428	3883908	REG0-15659	PM00465	CPLX0-7705
BS0-6601		REG0-15267 // REG0-6204	PM0-46582 // PM0-5143	PD00288
BS154	3536760	REG0-5567 // REG0-5117 // REG0-5116 // REG0-5115	PM00247 // PM223 // PM222 // PM221	CPLX0-226
BS0-4441	2685801.5d0	REG0-4851	PM00415	CPLX0-7797
BS-7054	1988145.5	REG0-6554	PM-8784	CPLX0-3930
BS0-7341	77313.5	REG0-14917 // REG0-8934 // REG0-5823	PM0-46489 // PM0-9592 // PM0-9591	EG12094-MONOMER
BS0-7998		REG0-10930	PM0-36192	PD00288
BS0-4481		REG0-6172	PM0-5982	PHOSPHO-EVGA
BS00675	4118178.5d0	REG0-5757	PM00238	PD03576
BS0-7885	890851.5	REG0-10752	PM0-2281	PD00365
BS0-4881	2934038.5	REG0-5596	PM00172	CPLX0-226
BS0-2101	2552260.5d0	REG0-6353	PM0-2921	PC00027
BS0-4207	3493872	REG0-4547	PM00062	PC00027
BS00414		REG0-5574	PM00178	PD00345
BS64	3771926.5	REG0-5716	PM00272	CPLX0-226
BS0-7481	4518292	REG0-9280	PM00207	CPLX0-7639
BS0-8046	3301313.5	REG0-11047	PM0-10131	PD01379
BS0-1842	368423.5	REG0-6371	PM0-2582	CPLX0-226
BS0-7931	3231642	REG0-10824	PM0-36147	PHOSPHO-ARCA
BS0-7113	180782	REG0-4881	PM00327	CPLX0-7748
BS0-8357	1257851.5	REG0-11756	PM0-1962	PD00214
BS00775	564638	REG0-5385	PM00646	CPLX0-7705
BS0-7215	1447420.5	REG0-11952 // REG0-4979	PM0-46300 // PM0-46298	CPLX0-226
BS00056	4616391	REG0-4816	PM00025	PD01196
BS325	1547272	REG0-5781	PM00217	PHOSPHO-NARL
BS0-7995		REG0-10927	PM0-5982	PD00288
BS0-7688	1645916.5	REG0-10263	PM0-9527	CPLX0-7791
BS0-5901	1933105	REG0-6103	PM00384	G7003-MONOMER
BS661		REG0-14957 // REG0-4859	PM0-46507 // PM00421	PD00288
BS0-8177	652003	REG0-11371 // REG0-11370	PM0-10377 // PM0-10380	PHOSPHO-NARL
BS0-8458	2038877.5	REG0-12172	PM0-45171	MONOMER0-4341
BS624	4348809	REG0-4918	PM00625	PHOSPHO-NARL
BS0-6983	4382399	REG0-15004 // REG0-4642	PM0-46523 // PM00030	PHOSPHO-NARL
BS0-7843	1622553	REG0-10660	PM0-10505	PHOSPHO-PHOP
BS0-7840	1409086.5	REG0-10655	PM0-10502	CPLX0-7797
BS0-0	2832370	REG0-6267	PM0-4681	PHOSPHO-NARL
BS0-6241		REG0-4928	PM263	PC00061
BS0-4423	2804780	REG0-4867	PM00423	PD00288
BS00613	2477733.5d0	REG0-5276	PM00516	CPLX0-226
BS767	131380	REG0-4934	PM263	PHOSPHO-ARCA
BS0-2556	4207791	REG0-15256 // REG0-6461	PM0-46580 // PM0-1346	CPLX0-7705
BS00357		REG0-5692	PM00173	PD01196
BS0-7272	480844	REG0-4610	PM0-9394	CPLX0-7748
BS00133	4132549.5d0	REG0-4508	PM00054	CPLX0-7796
BS00246	260246	REG0-5460	PM00119	PHOSPHO-PHOB
BS0-1941	3146420	REG0-5071	PM197	PHOSPHO-ARCA
BS0-10900	3154558	REG0-16470	TU0-13823	CPLX0-7639
BS0-1923	1031974	REG0-14858 // REG0-5326	PM0-46472 // PM00598	PHOSPHO-NARP
BS00678	4118240.5d0	REG0-5760	PM00238	PD03576
BS00181	2621125.5	REG0-5826	PM00080	CPLX-123
BS0-6784	1946087.5d0	REG0-6120	PM00386	PC00010
BS0-4427	2804854	REG0-4863	PM00423	PD00288
BS0-5474	792128	REG0-14874 // REG0-4652	PM0-46476 // PM00032	PD00288
BS0-3927		REG0-6183	PM0-5285	CPLX0-226
BS0-7929	1122731.5	REG0-10821	PM00083	CPLX0-7639
BS00067	2241752.5	REG0-4645	PM00031	CPLX0-226
BS0-8905	3133896	REG0-14762 // REG0-13259	G7551 // TU0-8752	G7072-MONOMER
BS193	4542866	REG0-5131	PM241	PD00353
BS0-3662	4462871.5	REG0-6248	PM0-5023	CPLX0-7797
BS00349	358704	REG0-5847	PM00195	PD00291
BS0-8848	4024393	REG0-13167	TU0-8499	G7072-MONOMER
BS0-8005	368576.5	REG0-10948	PM0-36203	CPLX0-226
BS0-2552	3429138	REG0-15017 // REG0-6477	PM0-46525 // PM0-1351	CPLX0-7705
BS0-4345	3318436.5	REG0-6164 // REG0-4845	PM0-5741 // PM00672	CPLX0-228
BS0-8657	189607	REG0-12699	TU0-12827	PD00365
BS0-8314	1671258.5	REG0-15247 // REG0-11636	PM0-46579 // PM0-1881	CPLX0-8597
BS0-7740	4605777	REG0-10456	PM0-8081	PD00214
BS58	1195005	REG0-5877	PM00149	PHOSPHO-ARCA
BS0-7286	997740	REG0-6005	PM169	PC00027
BS00569	954607	REG0-5190	PM00353	PHOSPHO-ARCA
BS0-8223	84132	REG0-9395 // REG0-11476 // REG0-11475	PM0-9884 // PM0-46179	PD00519
BS0-8249	771233.5	REG0-11506	PM0-3343	PC00061
BS0-8017	3667638.5	REG0-15201 // REG0-10965	PM0-46571 // PM461	EG12243-MONOMER
BS0-6741	3278695.5	REG0-5894	PM0-6882	G7630-MONOMER
BS0-7124	2868095	REG0-5627	PM00590	PHOSPHO-ARCA
BS0-13	2153850.5	REG0-5765	PM0-8261	CPLX0-7748
BS0-7338	3669302.5	REG0-5414	PM0-9588	CPLX0-7797
BS0-8901	2971251	REG0-13255	TU0-13749	G7072-MONOMER
BS0-4364	2832455	REG0-6268	PM0-4681	PC00027
BS0-8121	1905275.5	REG0-11236	PM0-46155	CPLX0-7672
BS0-7964	1619020.5	REG0-10892	PM00265	PC00061
BS0-7627	2634079	REG0-9597	PM00289	CPLX0-7705
BS0-7292	1092586	REG0-6597	PM0-8907	MONOMER0-46
BS0-7900	3274845	REG0-10783	PM582	CPLX0-7639
BS0-7578	4603195.5	REG0-9426 // REG0-9424	PM0-9879 // PM0-9877	PD00288
BS0-7181	4274084.5	REG0-6146 // REG0-6141 // REG0-5542 // REG0-5530	PM00500 // PM00499 // PM00098 // PM00091	PHOSPHO-ARCA
BS0-7677	2308684.5	REG0-10182	PM0-10338	MONOMER0-155
BS0-8573	4050844.5	REG0-12559	PM0-5062	CPLX0-226
BS0-7643	1447308	REG0-9639	PM0-46300	CPLX0-7756
BS00452	1686755.5d0	REG0-5870	PM00147	PD00365
BS0-17	2137666	REG0-6052	PM00291	PC00084
BS0-2547	3941395	REG0-14966 // REG0-6452	PM0-46509 // PM0-1343	CPLX0-7705
BS0-5282	3204467	REG0-6313	PM0-3625	CPLX0-7748
BS0-8398	1447341.5	REG0-11953	PM0-46298	G7072-MONOMER
BS0-8751	3653865.5	REG0-12883	PM00137	EG12243-MONOMER
BS0-7290	1889814	REG0-5897	PM0-4428	PHOSPHO-ARCA
BS00501	2250767.5d0	REG0-5174	PM00264	PD04418
BS0-7894	42188.5	REG0-10762 // REG0-10761	PM00528 // PM339	CPLX0-8062
BS0-8148	2578396.5	REG0-11266	PM0-10095	PHOSPHO-CREB
BS0-8707	4439475	REG0-12829	PM0-8526	PHOSPHO-PHOB
BS00299	3490219.5d0	REG0-5671	PM00152	CPLX0-228
BS0-5724	2352417	REG0-4699	PM00039	PC00027
BS0-1841	368461	REG0-6372	PM0-2582	MONOMER0-1441
BS0-3302	703715	REG0-6259 // REG0-4515	PM0-4621 // PM00058	PD00266
BS0-1281	1978507	REG0-5588	PM00184	EG12123-MONOMER
BS0-8856	2099745	REG0-13176	TU0-13495	G7072-MONOMER
BS802		REG0-5418	PM981	EG11966-MONOMER
BS0-8849	850413	REG0-13168	TU0-13058	G7072-MONOMER
BS0-7951	4414199	REG0-14918 // REG0-10863	PM0-46490 // PM00136	CPLX0-7691
BS0-7825	1988593	REG0-10601	PM0-10490	CPLX0-7639
BS00007	70139	REG0-4769 // REG0-4767 // REG0-4764 // REG0-4759	PM00004 // PM00003	PC00003 // CPLX-172
BS0-7188		REG0-6416	PM0-1728	CPLX0-7797
BS-7079	4404621	REG0-6210	PM00134	PD00365
BS0-7542	3373672	REG0-9381	PM0-1781	CPLX0-7705
BS0-1523	2533513	REG0-15067 // REG0-5222	PM0-46531 // PM00409	PD01896
BS0-7830	1988550.5	REG0-10606	PM0-10490	PD00288
BS63	3771968.5d0	REG0-5717	PM00272	CPLX0-226
BS0-7569	2976576.5	REG0-9414	PM0-1041	MONOMER-53
BS0-903	3305966.5d0	REG0-5477	PM00132	MONOMER0-162
BS0-7559	3068869.5	REG0-9402	PM0-9890	CPLX0-7671
BS00583	2461323.5	REG0-4477	PM00110	PHOSPHO-OMPR
BS475	461187	REG0-4973 // REG0-4968	PM589 // PM588	CPLX0-7705
BS00041	2246958	REG0-4804 // REG0-4800	PM00020 // PM00019	CPLX0-7639
BS0-8838	3821382	REG0-14515 // REG0-13157	EG10965 // TU0-8847	G7072-MONOMER
BS0-7787	1475104	REG0-10512	PM0-9768	CPLX0-7756
BS0-8015	3664813.5	REG0-10966 // REG0-10963	PM0-10288 // PM0-6061	EG12243-MONOMER
BS0-9010	2306822	REG0-13486	TU0-13559	PHOSPHO-ARCA
BS-7107	3493945.5d0	REG0-4545	PM00062	CPLX0-226
BS0-7244	1822258	REG0-15286 // REG0-5298	PM0-46586 // PM00543	CPLX0-7705
BS0-7783	3492455	REG0-10508	PM0-10144	CPLX0-7756
BS0-4241	2716605	REG0-6519	PM0-1303	PHOSPHO-ARCA
BS0-7591	161580.5	REG0-9478	PM0-3841	CPLX0-226
BS0-6978	954763	REG0-5202 // REG0-5186	PM00354 // PM00353	PHOSPHO-NARL
BS0-7707	4486182	REG0-10339	PM0-10361	CPLX0-3061
BS0-8439		REG0-12118	PM0-46332	PROTEIN-NRIP
BS0-3783	3354225	REG0-14898 // REG0-5243	PM0-46479 // PM00254	EG11544-MONOMER
BS0-8298	1100255	REG0-12852 // REG0-11618	PM0-44722	CPLX0-226
BS0-1583	2349540.5	REG0-6400	PM0-2021	PD00406
BS0-1704	141336	REG0-6409 // REG0-6408	PM0-2222 // PM0-2221	PC00027
BS0-8012	3653854.5	REG0-10957	PM00137	EG12243-MONOMER
BS0-7944	4362164.5	REG0-10853	PM00159	EG12008-MONOMER
BS0-7778	2477733	REG0-10502	PM00201	CPLX0-7756
BS0-8014	3657770.5	REG0-10417 // REG0-10959	PM0-10349 // PM0-5982	EG12243-MONOMER
BS0-7832	1988599	REG0-10608	PM0-10490	PD00288
BS781	931157	REG0-6034	PM961	PHOSPHO-NARL
BS0-2482	3219202	REG0-15180 // REG0-6333	PM0-46561 // PM0-3521	PC00027
BS0-10568		REG0-16016	TU0-42664	CPLX0-3930
BS404		REG0-5017	PM526	MONOMER0-183
BS0-8581	3234476	REG0-12591	PM0-46154	CPLX0-8230
BS00428	3267196	REG0-5698	PM00168	PC00027
BS0-8306	1020900.5	REG0-11628	PM00092	CPLX0-8597
BS0-8756	1942606.5	REG0-12891 // REG0-12890	PM0-4882 // PM0-4844	PD00214
BS0-6959	841806.5	REG0-6382	PM0-2701	CPLX0-226
BS0-7173	4360366	REG0-6043	PM00622	PD00288
BS0-8091	2585576.5	REG0-11108	PM0-36247	CPLX0-226
BS0-8675	1488029	REG0-12708	PM324	PD00365
BS0-8771	3841766	REG0-12908	PM0-9602	PD00406
